snapshot_date,product_id,stock_units,reorder_point
2025-01-15,200199,155,95
2025-01-15,200163,154,97
2025-01-15,200023,118,176
2025-01-15,200024,65,160
2025-01-15,200214,164,21
2025-01-15,200037,215,150
2025-01-22,200213,108,87
2025-01-22,200087,137,52
2025-01-22,200218,200,171
2025-01-22,200028,24,79
2025-01-22,200090,215,32
2025-01-22,200168,238,145
2025-01-22,200206,76,113
2025-01-22,200202,61,76
2025-01-22,200062,22,132
2025-01-22,200105,102,52
2025-01-22,200208,215,83
2025-01-22,200192,172,31
2025-01-22,200002,153,134
2025-01-22,200053,72,80
2025-01-22,200133,34,55
2025-01-22,200149,50,104
2025-01-22,200177,95,100
2025-01-22,200162,154,139
2025-01-22,200181,215,142
2025-01-22,200203,207,104
2025-01-22,200084,35,87
2025-01-22,200170,65,75
2025-01-22,200155,146,38
2025-01-22,200128,234,168
2025-01-22,200243,242,40
2025-01-22,200048,37,104
2025-01-22,200224,245,80
2025-01-22,200030,132,139
2025-01-22,200174,32,108
2025-01-22,200245,177,123
2025-01-22,200172,165,77
2025-01-22,200166,117,75
2025-01-22,200086,163,66
2025-01-22,200242,112,122
2025-01-22,200227,97,27
2025-01-22,200037,11,149
2025-01-22,200132,179,174
2025-01-22,200161,20,162
2025-01-22,200097,117,166
2025-01-22,200225,178,161
2025-01-22,200143,193,58
2025-01-22,200134,68,83
2025-01-22,200102,16,126
2025-01-22,200003,120,94
2025-01-22,200209,106,156
2025-01-22,200057,50,45
2025-01-22,200129,24,25
2025-01-22,200232,90,162
2025-01-22,200100,13,73
2025-01-22,200182,143,22
2025-01-22,200046,217,166
2025-01-22,200228,106,32
2025-01-22,200236,216,167
2025-01-22,200141,124,171
2025-01-22,200112,115,97
2025-01-22,200147,224,103
2025-01-22,200111,192,82
2025-01-22,200055,24,71
2025-01-22,200137,163,127
2025-01-22,200219,70,143
2025-01-22,200007,218,68
2025-01-22,200108,122,68
2025-01-22,200041,92,78
2025-01-22,200240,51,27
2025-01-22,200001,148,98
2025-01-22,200027,237,137
2025-01-22,200183,110,117
2025-01-22,200145,213,127
2025-01-22,200064,110,116
2025-01-22,200093,149,57
2025-01-22,200178,207,71
2025-01-22,200098,30,69
2025-01-22,200194,223,138
2025-01-22,200107,167,40
2025-01-22,200042,8,36
2025-01-22,200076,31,111
2025-01-22,200082,7,151
2025-01-22,200222,213,132
2025-01-22,200241,191,119
2025-01-22,200195,16,52
2025-01-22,200158,7,108
2025-01-22,200119,128,144
2025-01-22,200175,18,121
2025-01-22,200121,43,26
2025-01-22,200015,126,38
2025-01-22,200103,142,150
2025-01-22,200005,176,99
2025-01-22,200029,106,143
2025-01-22,200138,141,154
2025-01-22,200212,86,115
2025-01-22,200004,242,27
2025-01-22,200144,171,169
2025-01-22,200065,72,119
2025-01-22,200115,64,27
2025-01-22,200189,64,22
2025-01-22,200200,246,126
2025-01-22,200148,150,156
2025-01-22,200238,45,106
2025-01-22,200160,237,94
2025-01-22,200180,169,153
2025-01-29,200051,147,144
2025-01-29,200203,135,61
2025-01-29,200099,12,133
2025-01-29,200004,201,65
2025-01-29,200042,204,49
2025-01-29,200062,58,106
2025-01-29,200155,111,155
2025-01-29,200031,241,138
2025-01-29,200097,97,144
2025-01-29,200012,57,79
2025-01-29,200247,26,117
2025-01-29,200081,247,159
2025-01-29,200224,32,167
2025-01-29,200165,27,31
2025-01-29,200147,57,162
2025-01-29,200112,105,177
2025-01-29,200066,136,57
2025-01-29,200090,187,58
2025-01-29,200246,159,103
2025-01-29,200108,16,151
2025-01-29,200226,190,22
2025-01-29,200215,197,140
2025-01-29,200160,93,84
2025-01-29,200168,114,62
2025-01-29,200219,231,80
2025-01-29,200192,100,92
2025-01-29,200187,237,35
2025-01-29,200018,53,81
2025-01-29,200006,54,51
2025-01-29,200170,183,124
2025-01-29,200156,180,111
2025-01-29,200091,164,117
2025-01-29,200015,141,165
2025-01-29,200157,61,80
2025-01-29,200128,85,66
2025-01-29,200171,205,79
2025-01-29,200008,234,61
2025-01-29,200163,124,26
2025-01-29,200222,180,57
2025-01-29,200231,187,174
2025-01-29,200130,127,103
2025-01-29,200205,24,58
2025-01-29,200017,79,131
2025-01-29,200087,128,169
2025-01-29,200242,225,132
2025-01-29,200077,180,176
2025-01-29,200047,64,123
2025-01-29,200020,172,168
2025-01-29,200088,29,84
2025-01-29,200207,237,104
2025-01-29,200010,208,114
2025-01-29,200110,181,169
2025-01-29,200235,114,122
2025-01-29,200034,29,80
2025-01-29,200071,42,152
2025-01-29,200019,145,114
2025-01-29,200131,151,154
2025-01-29,200028,7,95
2025-01-29,200217,248,102
2025-01-29,200024,216,76
2025-01-29,200214,243,95
2025-01-29,200093,185,79
2025-01-29,200055,47,86
2025-01-29,200056,56,156
2025-01-29,200122,28,101
2025-01-29,200144,107,67
2025-01-29,200053,48,100
2025-01-29,200166,82,107
2025-01-29,200213,210,178
2025-01-29,200234,222,127
2025-01-29,200149,15,21
2025-01-29,200044,68,149
2025-01-29,200204,1,121
2025-01-29,200159,229,44
2025-01-29,200206,184,152
2025-01-29,200101,97,54
2025-01-29,200211,230,161
2025-01-29,200125,161,145
2025-01-29,200054,177,139
2025-01-29,200048,4,174
2025-01-29,200063,105,105
2025-01-29,200180,17,20
2025-01-29,200153,0,158
2025-01-29,200174,70,169
2025-01-29,200030,137,52
2025-01-29,200121,115,138
2025-01-29,200241,70,102
2025-01-29,200005,184,135
2025-01-29,200194,51,121
2025-01-29,200105,191,91
2025-01-29,200221,129,118
2025-01-29,200013,230,170
2025-01-29,200098,87,115
2025-01-29,200073,206,137
2025-01-29,200103,69,86
2025-01-29,200185,224,164
2025-01-29,200225,8,66
2025-01-29,200074,113,129
2025-01-29,200232,69,57
2025-01-29,200239,85,161
2025-02-05,200186,221,38
2025-02-05,200211,151,179
2025-02-05,200180,27,176
2025-02-05,200174,155,89
2025-02-05,200125,83,109
2025-02-05,200111,9,120
2025-02-05,200244,12,102
2025-02-05,200221,199,74
2025-02-05,200050,142,138
2025-02-05,200198,0,133
2025-02-05,200087,20,154
2025-02-05,200151,231,175
2025-02-05,200241,9,165
2025-02-05,200048,5,121
2025-02-05,200163,133,96
2025-02-05,200002,11,39
2025-02-05,200092,236,41
2025-02-05,200157,38,56
2025-02-05,200062,12,80
2025-02-05,200008,244,53
2025-02-05,200046,79,99
2025-02-05,200246,58,132
2025-02-05,200175,32,32
2025-02-05,200007,39,56
2025-02-05,200170,221,27
2025-02-05,200171,104,95
2025-02-05,200036,17,103
2025-02-05,200114,49,139
2025-02-05,200192,168,125
2025-02-05,200189,191,141
2025-02-05,200217,94,133
2025-02-05,200025,206,54
2025-02-05,200010,144,62
2025-02-05,200127,69,46
2025-02-05,200020,217,41
2025-02-05,200099,205,141
2025-02-05,200210,234,72
2025-02-05,200183,111,136
2025-02-05,200012,0,75
2025-02-05,200041,20,104
2025-02-05,200037,59,22
2025-02-05,200138,237,33
2025-02-05,200023,53,92
2025-02-05,200219,64,108
2025-02-05,200052,141,87
2025-02-05,200124,237,119
2025-02-05,200089,157,77
2025-02-05,200223,61,35
2025-02-05,200084,89,121
2025-02-05,200177,25,33
2025-02-05,200155,172,42
2025-02-05,200108,102,62
2025-02-05,200018,30,147
2025-02-05,200242,193,26
2025-02-05,200075,27,100
2025-02-05,200169,222,28
2025-02-05,200001,11,24
2025-02-05,200243,115,29
2025-02-05,200080,184,81
2025-02-05,200161,155,150
2025-02-05,200145,218,25
2025-02-05,200231,12,120
2025-02-05,200109,15,42
2025-02-05,200245,158,113
2025-02-05,200058,203,155
2025-02-05,200167,23,171
2025-02-05,200172,103,160
2025-02-05,200090,85,85
2025-02-05,200100,145,98
2025-02-05,200240,98,155
2025-02-05,200197,96,126
2025-02-05,200013,134,145
2025-02-05,200121,165,148
2025-02-05,200014,231,107
2025-02-05,200196,209,84
2025-02-05,200051,176,52
2025-02-05,200235,20,87
2025-02-05,200146,21,176
2025-02-05,200239,247,112
2025-02-05,200206,80,122
2025-02-05,200101,9,140
2025-02-05,200107,127,32
2025-02-05,200120,206,153
2025-02-05,200076,155,142
2025-02-05,200094,72,179
2025-02-05,200213,86,116
2025-02-05,200060,174,167
2025-02-05,200110,97,30
2025-02-05,200034,167,64
2025-02-05,200061,61,95
2025-02-05,200236,212,95
2025-02-05,200016,156,160
2025-02-05,200126,243,136
2025-02-05,200069,42,63
2025-02-05,200033,66,106
2025-02-05,200187,210,99
2025-02-05,200055,206,63
2025-02-05,200204,52,65
2025-02-05,200228,232,111
2025-02-05,200031,33,75
2025-02-12,200193,87,98
2025-02-12,200024,44,43
2025-02-12,200136,79,101
2025-02-12,200095,166,127
2025-02-12,200049,98,143
2025-02-12,200207,111,26
2025-02-12,200140,77,32
2025-02-12,200010,59,79
2025-02-12,200229,170,24
2025-02-12,200125,206,177
2025-02-12,200208,94,103
2025-02-12,200149,75,172
2025-02-12,200085,121,53
2025-02-12,200108,232,109
2025-02-12,200151,247,23
2025-02-12,200237,121,63
2025-02-12,200145,149,135
2025-02-12,200132,217,101
2025-02-12,200066,124,58
2025-02-12,200080,212,116
2025-02-12,200039,248,84
2025-02-12,200097,196,164
2025-02-12,200036,132,88
2025-02-12,200017,130,139
2025-02-12,200107,204,114
2025-02-12,200126,246,45
2025-02-12,200034,169,30
2025-02-12,200020,233,28
2025-02-12,200062,84,49
2025-02-12,200142,173,71
2025-02-12,200060,9,174
2025-02-12,200143,135,179
2025-02-12,200156,68,90
2025-02-12,200202,37,162
2025-02-12,200056,136,22
2025-02-12,200015,20,41
2025-02-12,200058,2,24
2025-02-12,200224,208,141
2025-02-12,200231,36,127
2025-02-12,200124,249,99
2025-02-12,200213,155,168
2025-02-12,200137,190,62
2025-02-12,200101,39,126
2025-02-12,200199,148,53
2025-02-12,200090,33,38
2025-02-12,200035,177,82
2025-02-12,200177,43,114
2025-02-12,200110,14,53
2025-02-12,200139,40,142
2025-02-12,200028,148,134
2025-02-12,200098,26,61
2025-02-12,200074,176,53
2025-02-12,200181,136,174
2025-02-12,200047,87,26
2025-02-12,200075,192,115
2025-02-12,200079,14,132
2025-02-12,200043,14,145
2025-02-12,200109,39,70
2025-02-12,200032,77,136
2025-02-12,200023,126,47
2025-02-12,200061,249,96
2025-02-12,200089,7,94
2025-02-12,200194,84,134
2025-02-12,200180,65,57
2025-02-12,200123,20,123
2025-02-12,200134,173,130
2025-02-12,200176,149,43
2025-02-12,200120,199,132
2025-02-12,200078,172,162
2025-02-12,200121,206,30
2025-02-12,200165,243,25
2025-02-12,200050,189,167
2025-02-12,200069,87,112
2025-02-12,200153,152,146
2025-02-12,200219,147,60
2025-02-12,200155,20,128
2025-02-12,200037,246,141
2025-02-12,200116,30,43
2025-02-12,200226,134,130
2025-02-12,200222,24,74
2025-02-12,200091,229,55
2025-02-12,200148,87,130
2025-02-12,200103,92,178
2025-02-12,200138,187,172
2025-02-12,200215,218,29
2025-02-12,200055,163,79
2025-02-12,200114,6,122
2025-02-12,200221,249,127
2025-02-12,200083,43,139
2025-02-12,200217,160,133
2025-02-12,200122,167,121
2025-02-12,200040,168,59
2025-02-12,200081,4,66
2025-02-12,200014,177,30
2025-02-12,200105,84,157
2025-02-12,200052,4,46
2025-02-12,200129,249,169
2025-02-12,200227,60,148
2025-02-12,200115,207,143
2025-02-12,200144,197,154
2025-02-19,200039,239,137
2025-02-19,200027,173,117
2025-02-19,200205,33,83
2025-02-19,200059,27,179
2025-02-19,200081,68,143
2025-02-19,200105,152,100
2025-02-19,200180,108,33
2025-02-19,200141,61,154
2025-02-19,200067,14,126
2025-02-19,200236,94,162
2025-02-19,200185,212,64
2025-02-19,200220,81,64
2025-02-19,200166,106,104
2025-02-19,200025,84,68
2025-02-19,200075,35,156
2025-02-19,200135,119,51
2025-02-19,200118,53,151
2025-02-19,200060,120,101
2025-02-19,200152,90,76
2025-02-19,200247,27,51
2025-02-19,200084,47,124
2025-02-19,200113,164,126
2025-02-19,200227,189,152
2025-02-19,200024,84,98
2025-02-19,200013,194,29
2025-02-19,200136,13,174
2025-02-19,200023,225,25
2025-02-19,200033,118,42
2025-02-19,200107,18,73
2025-02-19,200162,36,126
2025-02-19,200005,97,91
2025-02-19,200034,41,24
2025-02-19,200085,231,144
2025-02-19,200240,49,49
2025-02-19,200182,2,179
2025-02-19,200062,162,33
2025-02-19,200076,244,70
2025-02-19,200095,10,123
2025-02-19,200222,154,103
2025-02-19,200157,243,172
2025-02-19,200161,203,38
2025-02-19,200125,45,117
2025-02-19,200132,39,78
2025-02-19,200196,58,54
2025-02-19,200151,80,77
2025-02-19,200045,193,86
2025-02-19,200127,6,167
2025-02-19,200041,12,38
2025-02-19,200094,215,145
2025-02-19,200173,76,124
2025-02-19,200179,45,157
2025-02-19,200200,38,170
2025-02-19,200031,6,137
2025-02-19,200178,91,134
2025-02-19,200101,83,144
2025-02-19,200242,162,98
2025-02-19,200207,91,33
2025-02-19,200120,1,45
2025-02-19,200203,81,176
2025-02-19,200111,13,72
2025-02-19,200226,139,93
2025-02-19,200123,225,175
2025-02-19,200009,101,94
2025-02-19,200100,83,75
2025-02-19,200195,136,163
2025-02-19,200174,51,76
2025-02-19,200191,213,82
2025-02-19,200038,11,92
2025-02-19,200234,134,74
2025-02-19,200129,58,109
2025-02-19,200083,155,97
2025-02-19,200128,78,136
2025-02-19,200215,221,81
2025-02-19,200063,160,64
2025-02-19,200158,10,123
2025-02-19,200193,120,173
2025-02-19,200145,0,68
2025-02-19,200225,37,83
2025-02-19,200078,154,59
2025-02-19,200032,79,151
2025-02-19,200018,96,130
2025-02-19,200090,220,170
2025-02-19,200042,107,136
2025-02-19,200104,23,71
2025-02-19,200089,121,125
2025-02-19,200209,22,66
2025-02-19,200087,156,35
2025-02-19,200080,87,69
2025-02-19,200017,37,45
2025-02-19,200026,206,85
2025-02-19,200224,242,138
2025-02-19,200156,230,171
2025-02-19,200030,75,142
2025-02-19,200229,215,170
2025-02-19,200074,247,44
2025-02-19,200245,156,112
2025-02-19,200165,67,164
2025-02-19,200019,132,24
2025-02-19,200021,35,27
2025-02-19,200004,77,92
2025-02-26,200112,221,176
2025-02-26,200119,115,121
2025-02-26,200217,142,21
2025-02-26,200143,227,65
2025-02-26,200202,124,179
2025-02-26,200065,127,74
2025-02-26,200136,168,129
2025-02-26,200206,97,178
2025-02-26,200178,182,159
2025-02-26,200128,87,145
2025-02-26,200158,234,175
2025-02-26,200183,98,31
2025-02-26,200138,6,25
2025-02-26,200160,134,73
2025-02-26,200045,68,80
2025-02-26,200245,199,107
2025-02-26,200089,249,119
2025-02-26,200048,219,118
2025-02-26,200240,23,108
2025-02-26,200211,44,84
2025-02-26,200231,65,45
2025-02-26,200223,88,142
2025-02-26,200041,242,93
2025-02-26,200216,79,170
2025-02-26,200174,203,88
2025-02-26,200166,123,51
2025-02-26,200029,194,78
2025-02-26,200226,151,114
2025-02-26,200117,104,118
2025-02-26,200099,208,67
2025-02-26,200229,215,110
2025-02-26,200233,244,42
2025-02-26,200003,223,142
2025-02-26,200017,172,59
2025-02-26,200246,249,80
2025-02-26,200006,16,50
2025-02-26,200159,37,68
2025-02-26,200107,17,103
2025-02-26,200243,19,58
2025-02-26,200111,209,86
2025-02-26,200121,45,48
2025-02-26,200129,221,135
2025-02-26,200147,15,115
2025-02-26,200055,125,62
2025-02-26,200007,212,88
2025-02-26,200191,87,43
2025-02-26,200150,231,26
2025-02-26,200019,74,22
2025-02-26,200139,221,173
2025-02-26,200192,160,178
2025-02-26,200043,88,127
2025-02-26,200161,105,134
2025-02-26,200221,181,87
2025-02-26,200163,41,77
2025-02-26,200145,217,178
2025-02-26,200205,184,119
2025-02-26,200247,16,141
2025-02-26,200165,211,49
2025-02-26,200088,89,169
2025-02-26,200075,105,164
2025-02-26,200015,21,46
2025-02-26,200053,5,34
2025-02-26,200172,189,122
2025-02-26,200074,246,79
2025-02-26,200115,132,21
2025-02-26,200020,40,43
2025-02-26,200102,12,48
2025-02-26,200200,82,58
2025-02-26,200210,41,102
2025-02-26,200181,191,170
2025-02-26,200203,194,68
2025-02-26,200125,175,38
2025-02-26,200155,88,77
2025-02-26,200101,60,138
2025-02-26,200118,239,55
2025-02-26,200236,191,162
2025-02-26,200056,245,68
2025-02-26,200028,100,82
2025-02-26,200131,186,153
2025-02-26,200086,9,167
2025-02-26,200026,219,79
2025-02-26,200097,73,169
2025-02-26,200180,172,157
2025-02-26,200175,116,40
2025-02-26,200021,121,72
2025-02-26,200027,126,124
2025-02-26,200126,145,164
2025-02-26,200025,90,167
2025-02-26,200164,239,54
2025-02-26,200149,178,61
2025-02-26,200144,199,51
2025-02-26,200069,45,20
2025-02-26,200187,220,147
2025-02-26,200105,72,168
2025-02-26,200197,108,163
2025-02-26,200076,111,70
2025-02-26,200225,237,57
2025-02-26,200083,168,163
2025-02-26,200176,100,39
2025-02-26,200036,43,150
2025-03-05,200151,177,45
2025-03-05,200027,28,26
2025-03-05,200176,6,179
2025-03-05,200142,163,38
2025-03-05,200005,207,147
2025-03-05,200059,103,99
2025-03-05,200234,67,104
2025-03-05,200061,84,93
2025-03-05,200197,184,157
2025-03-05,200198,130,91
2025-03-05,200238,196,130
2025-03-05,200071,237,158
2025-03-05,200045,21,81
2025-03-05,200132,116,67
2025-03-05,200002,71,42
2025-03-05,200104,185,83
2025-03-05,200072,38,77
2025-03-05,200034,19,133
2025-03-05,200131,101,44
2025-03-05,200138,193,95
2025-03-05,200029,234,159
2025-03-05,200165,160,117
2025-03-05,200182,47,103
2025-03-05,200012,192,179
2025-03-05,200215,84,133
2025-03-05,200139,85,161
2025-03-05,200073,192,178
2025-03-05,200110,151,86
2025-03-05,200242,155,126
2025-03-05,200013,34,127
2025-03-05,200022,154,58
2025-03-05,200014,164,147
2025-03-05,200185,226,92
2025-03-05,200200,93,71
2025-03-05,200143,17,100
2025-03-05,200220,135,132
2025-03-05,200167,123,144
2025-03-05,200089,180,134
2025-03-05,200119,238,69
2025-03-05,200121,204,22
2025-03-05,200039,79,57
2025-03-05,200065,86,153
2025-03-05,200157,111,54
2025-03-05,200117,66,39
2025-03-05,200019,181,116
2025-03-05,200128,203,146
2025-03-05,200011,43,56
2025-03-05,200077,19,53
2025-03-05,200080,94,111
2025-03-05,200191,229,156
2025-03-05,200237,206,28
2025-03-05,200095,149,90
2025-03-05,200064,214,119
2025-03-05,200161,111,91
2025-03-05,200232,34,121
2025-03-05,200203,129,51
2025-03-05,200035,226,166
2025-03-05,200113,131,114
2025-03-05,200067,204,134
2025-03-05,200243,157,24
2025-03-05,200028,16,177
2025-03-05,200181,61,134
2025-03-05,200025,3,39
2025-03-05,200187,122,35
2025-03-05,200086,35,178
2025-03-05,200069,16,92
2025-03-05,200218,143,141
2025-03-05,200231,25,121
2025-03-05,200090,91,155
2025-03-05,200158,95,50
2025-03-05,200125,167,42
2025-03-05,200137,167,171
2025-03-05,200169,135,51
2025-03-05,200171,95,163
2025-03-05,200235,112,157
2025-03-05,200172,50,139
2025-03-05,200031,104,25
2025-03-05,200214,186,176
2025-03-05,200040,1,36
2025-03-05,200120,34,160
2025-03-05,200111,92,29
2025-03-05,200036,194,163
2025-03-05,200051,160,99
2025-03-05,200114,51,81
2025-03-05,200098,36,127
2025-03-05,200195,5,105
2025-03-05,200219,43,124
2025-03-05,200093,203,107
2025-03-05,200118,241,114
2025-03-05,200082,0,48
2025-03-05,200140,56,34
2025-03-05,200177,1,42
2025-03-05,200201,123,27
2025-03-05,200164,54,91
2025-03-05,200021,193,27
2025-03-05,200148,9,131
