return_id,order_id,product_id,return_ts,reason,refund_amount
9000070,5042300,200076,2025-09-06,damaged_delivery,1206.59
9000071,5013257,200186,2025-04-13,changed_mind,1647.1
9000072,5037853,200125,2025-05-11,not_as_described,796.44
9000073,5037306,200119,2025-12-09,changed_mind,2416.01
9000074,5052157,200173,2025-10-31,changed_mind,1438.74
9000075,5028656,200220,2025-12-14,damaged_delivery,3209.16
9000076,5053692,200134,2025-12-06,not_as_described,926.52
9000077,5016832,200106,2026-06-22,not_as_described,5967.24
9000078,5036124,200196,2026-06-25,changed_mind,4013.76
9000079,5017976,200007,2025-11-22,not_as_described,2883.74
9000080,5059329,200054,2026-01-05,changed_mind,13184.19
9000081,5002682,200247,2026-06-24,wrong_size,3270.08
9000082,5026087,200021,2025-09-30,changed_mind,5507.11
9000083,5020162,200177,2025-10-12,defect,4918.22
9000084,5031905,200145,2025-02-17,changed_mind,8424.71
9000085,5044494,200208,2025-05-21,defect,3781.61
9000086,5004883,200122,2026-04-10,changed_mind,7764.1
9000087,5026935,200181,2026-03-25,damaged_delivery,1766.88
9000088,5002937,200138,2026-01-05,damaged_delivery,5346.35
9000089,5021921,200134,2025-11-21,changed_mind,1095.72
9000090,5028736,200004,2025-04-20,changed_mind,681.48
9000091,5000575,200114,2026-05-04,changed_mind,45813.58
9000092,5026960,200229,2026-01-10,not_as_described,3381.87
9000093,5004498,200099,2025-03-13,not_as_described,3883.95
9000094,5009542,200009,2025-05-01,defect,4237.17
9000095,5031716,200204,2026-04-29,wrong_size,2454.61
9000096,5006682,200125,2026-03-14,not_as_described,1185.66
9000097,5004318,200103,2025-11-09,defect,926.4
9000098,5033365,200170,2025-10-26,not_as_described,1534.5
9000099,5006974,200205,2026-01-28,changed_mind,21933.72
9000100,5044651,200180,2025-03-12,not_as_described,1411.51
9000101,5007159,200211,2025-05-08,changed_mind,3373.78
9000102,5016702,200011,2025-11-18,changed_mind,3660.09
9000103,5015450,200090,2025-04-03,damaged_delivery,4642.54
9000104,5018426,200089,2025-01-25,damaged_delivery,1212.99
9000105,5035295,200107,2025-05-28,damaged_delivery,1846.06
9000106,5045372,200205,2025-01-13,not_as_described,12181.6
9000107,5031902,200081,2025-08-09,not_as_described,1557.0
9000108,5031450,200078,2025-09-14,changed_mind,9017.42
9000109,5045743,200172,2025-04-13,changed_mind,4446.15
9000110,5049004,200148,2025-07-17,not_as_described,3443.34
9000111,5037482,200104,2025-12-08,damaged_delivery,2633.32
9000112,5034631,200093,2025-12-14,defect,6212.8
9000113,5010040,200126,2026-02-15,not_as_described,475.7
9000114,5053379,200155,2025-05-19,not_as_described,16155.4
9000115,5022466,200237,2025-01-24,not_as_described,5940.25
9000116,5012738,200089,2025-03-30,changed_mind,1255.27
9000117,5047321,200007,2026-03-16,wrong_size,1805.69
9000118,5026600,200163,2025-07-17,not_as_described,7894.69
9000119,5009989,200244,2026-05-15,damaged_delivery,1381.45
9000120,5031816,200119,2025-09-14,wrong_size,4899.32
9000121,5014141,200200,2025-06-30,defect,2952.64
9000122,5020799,200121,2025-09-20,wrong_size,1687.32
9000123,5048492,200104,2025-04-29,wrong_size,1219.3
9000124,5010364,200073,2026-06-30,damaged_delivery,13206.66
9000125,5027208,200135,2025-05-02,not_as_described,10351.3
9000126,5043249,200091,2025-11-02,damaged_delivery,971.29
9000127,5022392,200245,2025-03-13,changed_mind,511.25
9000128,5037728,200161,2025-09-21,not_as_described,2384.18
9000129,5058719,200085,2026-01-15,not_as_described,5131.89
9000130,5047355,200079,2025-04-10,damaged_delivery,1380.61
9000131,5033583,200123,2025-07-23,changed_mind,13693.7
9000132,5045989,200061,2026-04-15,wrong_size,2233.12
9000133,5046794,200040,2025-05-24,damaged_delivery,865.46
9000134,5050248,200234,2025-12-22,not_as_described,2785.49
9000135,5029106,200152,2025-07-01,defect,8249.66
9000136,5038920,200076,2025-02-12,damaged_delivery,887.39
9000137,5047026,200014,2025-11-16,changed_mind,12356.39
9000138,5042402,200157,2026-01-19,defect,988.62
9000139,5054409,200116,2025-09-02,wrong_size,684.13
9000140,5000893,200138,2026-04-20,changed_mind,8938.83
9000141,5020523,200113,2026-05-30,not_as_described,3256.39
9000142,5056690,200195,2025-12-03,damaged_delivery,19677.95
9000143,5031955,200225,2025-01-12,changed_mind,5088.28
9000144,5058330,200064,2025-07-10,damaged_delivery,3977.71
9000145,5020124,200075,2026-03-26,damaged_delivery,1958.44
9000146,5022045,200222,2025-07-25,damaged_delivery,2723.31
9000147,5023272,200026,2025-07-20,not_as_described,6090.23
9000148,5015059,200209,2025-03-19,changed_mind,3437.89
9000149,5037933,200094,2025-11-07,not_as_described,1360.91
9000150,5030271,200186,2025-12-09,wrong_size,2821.86
9000151,5051365,200188,2026-02-19,damaged_delivery,4823.12
9000152,5016836,200075,2025-12-02,not_as_described,2670.67
9000153,5052914,200051,2026-03-18,damaged_delivery,1223.24
9000154,5011424,200002,2026-02-07,wrong_size,1874.14
9000155,5035834,200043,2025-07-15,changed_mind,2516.53
9000156,5046694,200026,2025-03-09,wrong_size,4032.99
9000157,5007567,200112,2025-08-02,defect,22921.86
9000158,5033794,200112,2025-04-06,changed_mind,18312.08
9000159,5006339,200178,2025-09-30,damaged_delivery,1673.06
9000160,5056990,200049,2026-01-27,damaged_delivery,1265.53
9000161,5053495,200067,2025-06-14,changed_mind,9330.48
9000162,5058528,200107,2025-09-27,changed_mind,3748.97
9000163,5031807,200026,2025-06-30,not_as_described,5968.05
9000164,5038805,200119,2025-03-03,changed_mind,2684.68
9000165,5050356,200001,2025-05-03,not_as_described,2089.04
9000166,5047929,200014,2026-06-12,changed_mind,13402.09
9000167,5013817,200020,2026-01-04,defect,5627.43
9000168,5029973,200012,2025-04-30,changed_mind,1281.63
9000169,5011338,200148,2025-09-25,not_as_described,4746.8
9000170,5002917,200124,2025-03-26,damaged_delivery,5874.12
9000171,5038182,200179,2026-04-10,changed_mind,1284.99
9000172,5033089,200119,2025-04-06,defect,2364.78
9000173,5043620,200025,2026-05-22,not_as_described,5659.85
9000174,5056240,200093,2026-01-02,not_as_described,9069.04
9000175,5051492,200194,2025-11-08,wrong_size,18759.19
9000176,5030746,200067,2025-02-01,wrong_size,4163.93
9000177,5010601,200237,2026-03-22,wrong_size,11877.49
9000178,5035235,200075,2025-03-08,defect,2214.4
9000179,5034362,200049,2025-11-12,defect,3948.7
9000180,5040939,200227,2025-04-15,not_as_described,1282.25
9000181,5006265,200026,2025-04-18,defect,12032.34
9000182,5056167,200117,2025-01-26,changed_mind,398.16
9000183,5059575,200064,2025-10-07,changed_mind,3744.16
9000184,5016692,200165,2025-09-18,not_as_described,3262.3
9000185,5004771,200098,2025-06-09,wrong_size,1129.6
9000186,5008076,200015,2026-04-12,changed_mind,18951.73
9000187,5030026,200228,2025-06-02,changed_mind,4074.66
9000188,5042773,200129,2026-05-27,wrong_size,2644.05
9000189,5011107,200012,2025-05-07,damaged_delivery,2748.1
9000190,5047951,200227,2026-01-26,damaged_delivery,2445.9
9000191,5020179,200150,2025-02-06,wrong_size,12572.56
9000192,5029192,200174,2025-07-11,wrong_size,4855.19
9000193,5049141,200219,2025-04-24,changed_mind,2141.34
9000194,5035565,200244,2025-05-18,wrong_size,2730.46
9000195,5010710,200022,2025-05-09,changed_mind,9704.39
9000196,5010542,200238,2026-05-31,changed_mind,796.49
9000197,5042773,200129,2026-06-03,changed_mind,2845.72
9000198,5009310,200096,2025-04-22,damaged_delivery,827.7
9000199,5027142,200206,2026-05-20,changed_mind,1479.28
9000200,5009158,200182,2025-07-25,not_as_described,1932.97
9000201,5004066,200197,2026-05-01,not_as_described,4257.98
9000202,5030737,200030,2026-04-10,not_as_described,1919.11
9000203,5000611,200121,2026-01-08,damaged_delivery,1973.79
9000204,5015057,200053,2025-06-16,changed_mind,8356.6
9000205,5007473,200208,2026-03-10,wrong_size,3654.94
9000206,5024614,200050,2026-05-21,changed_mind,1778.23
9000207,5034360,200004,2026-04-30,changed_mind,1406.85
9000208,5038026,200246,2025-11-13,defect,423.82
9000209,5054662,200221,2025-12-12,changed_mind,2970.93
9000210,5057111,200052,2025-08-03,wrong_size,766.86
9000211,5037109,200155,2025-02-09,wrong_size,7716.04
9000212,5024955,200162,2026-01-16,not_as_described,3417.49
9000213,5046680,200044,2025-04-27,defect,1998.06
9000214,5012445,200134,2025-06-27,changed_mind,2101.68
9000215,5041657,200171,2026-01-30,not_as_described,3838.25
9000216,5034072,200230,2026-04-30,not_as_described,1584.61
9000217,5054408,200148,2025-09-11,defect,1921.82
9000218,5025376,200034,2025-06-26,not_as_described,3955.38
9000219,5023857,200204,2025-05-23,not_as_described,1478.79
9000220,5001633,200169,2026-02-24,wrong_size,3619.23
9000221,5006855,200074,2025-01-13,wrong_size,5119.6
9000222,5017303,200002,2025-10-25,damaged_delivery,580.18
9000223,5004933,200193,2025-05-26,changed_mind,2643.02
9000224,5044287,200148,2026-06-14,defect,1263.32
9000225,5029062,200132,2025-02-21,not_as_described,415.02
9000226,5006223,200032,2025-03-15,defect,1814.72
9000227,5020122,200054,2025-04-29,damaged_delivery,9106.47
9000228,5036929,200172,2025-11-23,not_as_described,4604.35
9000229,5056146,200175,2026-02-14,not_as_described,993.34
9000230,5050851,200115,2025-01-22,changed_mind,2451.84
9000231,5031553,200123,2026-05-29,wrong_size,5425.45
9000232,5049843,200059,2025-06-22,wrong_size,3673.71
9000233,5005997,200246,2025-12-20,not_as_described,475.19
9000234,5043731,200207,2025-02-28,changed_mind,6478.26
9000235,5009246,200062,2025-05-20,defect,1621.21
9000236,5006624,200148,2025-07-20,changed_mind,4390.88
9000237,5011058,200081,2025-02-09,not_as_described,2376.64
9000238,5055197,200157,2025-08-27,damaged_delivery,1265.9
9000239,5035610,200170,2026-03-17,changed_mind,1889.87
9000240,5045013,200085,2025-04-22,changed_mind,12611.32
9000241,5020870,200132,2025-07-28,not_as_described,713.72
9000242,5056680,200072,2026-02-13,not_as_described,1372.0
9000243,5017272,200168,2025-10-29,defect,4168.19
9000244,5020771,200220,2025-01-27,defect,2746.56
9000245,5030115,200099,2025-01-17,changed_mind,1392.75
9000246,5012092,200100,2025-03-04,defect,5064.03
9000247,5032192,200203,2025-11-12,changed_mind,1441.42
9000248,5037426,200035,2025-06-10,not_as_described,5419.7
9000249,5001045,200137,2025-09-22,wrong_size,1449.5
9000250,5038848,200030,2025-12-26,damaged_delivery,3461.21
9000251,5027872,200127,2025-03-16,defect,12103.26
9000252,5037487,200105,2026-03-25,wrong_size,2357.52
9000253,5047864,200070,2025-12-13,changed_mind,4700.71
9000254,5028866,200216,2025-09-11,wrong_size,1972.86
9000255,5035083,200023,2026-01-01,wrong_size,3670.97
9000256,5048339,200088,2026-06-25,damaged_delivery,4669.68
9000257,5009844,200175,2025-12-22,damaged_delivery,2111.5
9000258,5056837,200216,2026-05-16,not_as_described,3663.2
9000259,5048661,200031,2025-03-09,defect,778.0
9000260,5022151,200231,2025-12-20,changed_mind,484.11
9000261,5037833,200147,2025-11-01,wrong_size,636.74
9000262,5043378,200163,2025-01-18,not_as_described,5184.01
9000263,5028548,200110,2026-06-02,wrong_size,869.11
9000264,5024073,200103,2025-04-25,damaged_delivery,951.76
9000265,5057568,200003,2025-04-30,wrong_size,5628.96
9000266,5058062,200044,2025-11-22,damaged_delivery,3175.15
9000267,5005942,200215,2026-05-17,damaged_delivery,2641.92
9000268,5017317,200046,2026-03-23,changed_mind,9879.56
9000269,5031563,200126,2025-03-18,changed_mind,412.38
9000270,5033180,200006,2025-11-25,damaged_delivery,2850.94
9000271,5043172,200126,2025-01-11,defect,701.65
9000272,5042132,200227,2025-10-09,defect,2836.53
9000273,5019672,200114,2025-09-30,not_as_described,66515.96
9000274,5037645,200068,2025-08-01,defect,3547.64
9000275,5001612,200098,2025-10-17,not_as_described,1259.64
9000276,5014355,200104,2026-04-06,not_as_described,2757.73
9000277,5043161,200245,2025-08-04,not_as_described,886.17
9000278,5004217,200242,2026-03-17,defect,6811.01
9000279,5019557,200147,2026-04-24,wrong_size,703.06
9000280,5033560,200158,2026-05-14,changed_mind,6159.57
9000281,5026591,200191,2025-07-07,not_as_described,1563.72
9000282,5005762,200177,2025-03-26,changed_mind,6871.4
9000283,5059876,200178,2025-02-24,damaged_delivery,1512.6
9000284,5057500,200020,2025-03-14,damaged_delivery,2531.96
9000285,5012429,200035,2025-12-01,changed_mind,3239.03
9000286,5020835,200202,2026-05-13,changed_mind,889.3
9000287,5022775,200213,2026-03-30,wrong_size,1343.39
9000288,5028951,200013,2025-11-28,not_as_described,3353.99
9000289,5029951,200012,2025-07-17,damaged_delivery,4118.12
9000290,5055285,200245,2025-07-15,wrong_size,627.42
9000291,5051353,200011,2025-10-09,changed_mind,3255.83
9000292,5027220,200147,2025-11-02,damaged_delivery,1252.0
9000293,5040880,200151,2025-02-16,wrong_size,2350.07
9000294,5056639,200095,2026-02-17,not_as_described,3808.71
9000295,5048938,200245,2025-04-29,defect,583.24
9000296,5053665,200019,2026-05-06,defect,5634.25
9000297,5004734,200062,2026-05-23,not_as_described,1287.62
9000298,5030580,200093,2026-05-04,damaged_delivery,5669.23
9000299,5002383,200032,2025-01-22,damaged_delivery,2808.36
9000300,5035395,200128,2026-06-16,damaged_delivery,5690.77
9000301,5027239,200124,2025-09-23,not_as_described,2234.34
9000302,5032427,200130,2025-04-24,not_as_described,10475.47
9000303,5045044,200055,2026-05-30,defect,9194.31
9000304,5027492,200094,2025-10-10,defect,825.83
9000305,5001113,200062,2026-05-14,defect,3393.01
9000306,5004165,200031,2026-06-11,damaged_delivery,1126.72
9000307,5004838,200215,2026-02-21,changed_mind,9537.93
9000308,5050399,200109,2026-06-30,wrong_size,2659.23
9000309,5059077,200191,2026-03-09,not_as_described,815.7
9000310,5015176,200040,2026-06-01,not_as_described,385.04
9000311,5036608,200002,2026-05-14,not_as_described,1531.86
9000312,5043698,200204,2025-12-07,wrong_size,867.37
9000313,5026110,200134,2025-04-22,changed_mind,2623.09
9000314,5048320,200112,2025-02-16,wrong_size,9283.96
9000315,5044253,200097,2025-03-25,damaged_delivery,4508.34
9000316,5026312,200100,2025-12-21,damaged_delivery,1682.63
9000317,5051287,200139,2025-12-15,changed_mind,6854.81
9000318,5000290,200109,2025-01-17,changed_mind,3093.55
9000319,5054909,200117,2026-04-27,wrong_size,746.1
9000320,5047291,200128,2025-07-09,changed_mind,9096.42
9000321,5008815,200168,2025-11-14,changed_mind,4812.04
9000322,5017375,200203,2025-02-24,defect,384.6
9000323,5012345,200118,2025-11-07,wrong_size,1775.35
9000324,5018628,200157,2026-06-15,wrong_size,1029.04
9000325,5058740,200037,2025-01-23,wrong_size,2635.32
9000326,5026743,200189,2025-05-06,defect,5430.58
9000327,5056317,200145,2025-11-12,defect,7805.89
9000328,5052581,200076,2025-03-22,defect,694.08
9000329,5054054,200156,2026-01-08,not_as_described,666.43
9000330,5005260,200026,2025-08-20,defect,3488.83
9000331,5050392,200222,2025-12-06,defect,2836.71
9000332,5026663,200172,2025-07-26,damaged_delivery,4037.2
9000333,5000088,200232,2025-09-02,damaged_delivery,878.63
9000334,5047442,200093,2025-04-28,damaged_delivery,3469.18
9000335,5005367,200193,2026-06-26,damaged_delivery,3138.28
9000336,5025424,200097,2025-08-06,changed_mind,12365.17
9000337,5049124,200061,2026-05-19,changed_mind,1070.85
9000338,5001961,200098,2026-02-20,changed_mind,2533.75
9000339,5039260,200131,2025-12-16,damaged_delivery,3391.45
9000340,5049007,200049,2026-03-25,not_as_described,995.32
9000341,5006362,200077,2025-08-14,not_as_described,11325.64
9000342,5026156,200135,2025-08-11,not_as_described,7701.88
9000343,5025429,200169,2025-08-18,wrong_size,14120.92
9000344,5047705,200117,2025-03-12,not_as_described,701.45
9000345,5031309,200233,2025-07-08,damaged_delivery,8437.28
9000346,5041436,200077,2025-11-20,not_as_described,18242.45
9000347,5009171,200032,2025-03-18,changed_mind,1342.95
9000348,5016904,200153,2025-10-08,changed_mind,929.74
9000349,5035506,200227,2025-03-13,wrong_size,1447.94
9000350,5014344,200111,2025-02-22,damaged_delivery,6587.65
9000351,5025721,200051,2026-04-06,not_as_described,1307.55
9000352,5003846,200196,2025-04-19,wrong_size,4712.44
9000353,5003468,200209,2025-11-23,damaged_delivery,4604.26
9000354,5006711,200039,2026-02-22,wrong_size,873.96
9000355,5006209,200030,2025-06-21,changed_mind,1608.88
9000356,5054577,200198,2025-04-30,not_as_described,4078.49
9000357,5026785,200110,2025-10-05,damaged_delivery,554.1
9000358,5039722,200217,2025-05-01,defect,3108.16
9000359,5009273,200189,2026-04-28,defect,1563.62
9000360,5005802,200130,2026-01-02,defect,10426.23
9000361,5005008,200063,2025-11-09,not_as_described,3048.9
9000362,5016664,200227,2025-11-19,changed_mind,2587.62
9000363,5027993,200080,2025-06-20,defect,3048.27
9000364,5020333,200129,2025-04-16,defect,6851.24
9000365,5007799,200203,2026-06-10,changed_mind,418.72
9000366,5022287,200181,2025-12-22,changed_mind,2748.08
9000367,5056977,200230,2025-11-27,defect,3187.98
9000368,5033018,200199,2025-06-08,changed_mind,2404.88
9000369,5036167,200098,2025-05-26,defect,1130.04
9000370,5010431,200241,2026-02-08,not_as_described,1911.58
9000371,5008187,200042,2025-09-18,defect,6721.13
9000372,5036787,200109,2025-05-05,changed_mind,3168.9
9000373,5003122,200059,2025-07-12,not_as_described,1288.78
9000374,5015277,200212,2025-03-29,defect,8718.46
9000375,5000890,200217,2026-06-10,wrong_size,8983.53
9000376,5049068,200202,2026-06-24,not_as_described,839.07
9000377,5051306,200095,2025-04-12,wrong_size,1150.53
9000378,5050096,200074,2025-05-26,changed_mind,4715.83
9000379,5059668,200180,2026-02-08,defect,1096.3
9000380,5052166,200039,2026-01-28,not_as_described,619.88
9000381,5052018,200136,2026-04-27,damaged_delivery,1086.83
9000382,5031010,200102,2026-05-26,defect,11433.31
9000383,5035180,200023,2025-10-08,defect,3608.59
9000384,5048878,200044,2025-02-28,wrong_size,1941.93
9000385,5041916,200203,2025-12-16,defect,1113.64
9000386,5024553,200090,2025-04-27,wrong_size,4855.4
9000387,5053919,200197,2025-10-31,wrong_size,9607.62
9000388,5050809,200067,2025-03-31,not_as_described,7189.34
9000389,5032226,200148,2026-05-29,not_as_described,1361.51
9000390,5026667,200055,2025-04-04,changed_mind,28894.19
9000391,5007716,200173,2025-04-30,damaged_delivery,3830.82
9000392,5043163,200196,2025-12-04,damaged_delivery,3853.98
9000393,5005229,200031,2026-05-31,defect,1761.07
9000394,5021020,200002,2026-04-24,wrong_size,791.7
9000395,5007422,200133,2026-03-13,changed_mind,13378.69
9000396,5018447,200087,2026-05-26,wrong_size,4919.42
9000397,5010212,200216,2025-01-14,not_as_described,3477.58
9000398,5044588,200043,2026-03-21,not_as_described,5824.77
9000399,5010310,200038,2026-05-15,damaged_delivery,4220.18
9000400,5025008,200194,2025-03-02,damaged_delivery,34308.98
9000401,5049518,200073,2025-12-22,defect,12531.24
9000402,5002125,200138,2026-04-13,wrong_size,16374.37
9000403,5019332,200131,2026-04-04,damaged_delivery,2298.05
9000404,5040890,200031,2025-12-01,wrong_size,867.69
9000405,5006917,200191,2025-04-30,defect,1576.36
9000406,5039636,200118,2025-04-16,damaged_delivery,1178.98
9000407,5022127,200094,2025-05-06,defect,705.08
9000408,5012588,200175,2025-05-02,damaged_delivery,903.12
9000409,5008449,200135,2025-05-26,changed_mind,3980.75
9000410,5035227,200143,2025-01-28,damaged_delivery,6467.38
9000411,5046336,200091,2025-12-21,damaged_delivery,1822.11
9000412,5031896,200235,2026-04-15,not_as_described,1875.92
9000413,5059722,200175,2025-03-14,damaged_delivery,1764.98
9000414,5040061,200008,2025-02-09,not_as_described,13446.07
9000415,5052467,200141,2025-05-16,changed_mind,2095.38
9000416,5051645,200125,2025-09-25,damaged_delivery,644.07
9000417,5028148,200207,2025-05-23,changed_mind,2256.58
9000418,5008272,200216,2026-05-02,wrong_size,3566.31
9000419,5005514,200017,2025-10-04,not_as_described,16386.64
9000420,5024364,200212,2025-05-07,not_as_described,7117.4
9000421,5026640,200173,2025-02-06,wrong_size,2316.44
9000422,5049667,200021,2025-11-06,defect,9582.44
9000423,5031049,200176,2025-12-17,not_as_described,1867.6
9000424,5058681,200238,2025-09-04,wrong_size,1697.52
9000425,5011623,200115,2025-05-16,changed_mind,2206.09
9000426,5000900,200113,2025-04-06,wrong_size,4174.29
9000427,5044354,200093,2025-11-12,not_as_described,3009.71
9000428,5036348,200099,2026-01-01,wrong_size,1525.25
9000429,5047325,200138,2025-10-02,not_as_described,7760.85
9000430,5052874,200116,2025-02-14,not_as_described,876.5
9000431,5026326,200127,2026-06-29,changed_mind,19011.05
9000432,5015739,200204,2025-11-07,defect,1039.84
9000433,5009846,200140,2025-01-31,wrong_size,3357.73
9000434,5007565,200034,2025-04-26,changed_mind,1823.23
9000435,5013314,200191,2025-07-18,defect,2257.05
9000436,5014754,200107,2026-04-25,damaged_delivery,3821.58
9000437,5044903,200083,2025-12-16,defect,1684.19
9000438,5050974,200171,2025-12-05,damaged_delivery,3777.22
9000439,5011806,200179,2025-10-18,changed_mind,514.69
9000440,5035811,200167,2026-05-22,damaged_delivery,1892.58
9000441,5030239,200139,2025-09-09,damaged_delivery,2388.82
9000442,5011020,200068,2026-04-27,not_as_described,3362.94
9000443,5021374,200215,2025-04-13,defect,2711.61
9000444,5027290,200097,2025-01-22,changed_mind,4855.47
9000445,5001564,200035,2026-06-16,not_as_described,2978.87
9000446,5057757,200042,2025-02-05,damaged_delivery,4959.54
9000447,5015979,200159,2026-02-22,defect,750.44
9000448,5015039,200060,2026-04-18,wrong_size,1411.68
9000449,5055494,200121,2025-03-13,wrong_size,1957.31
9000450,5015126,200103,2025-11-26,changed_mind,3148.9
9000451,5012763,200189,2026-02-06,not_as_described,1741.15
9000452,5029987,200073,2025-08-16,wrong_size,15702.81
9000453,5041049,200227,2025-02-02,changed_mind,1479.91
9000454,5020262,200082,2025-07-09,wrong_size,2213.76
9000455,5012154,200154,2025-05-13,changed_mind,1220.07
9000456,5032615,200220,2026-03-23,defect,2599.46
9000457,5045956,200127,2025-10-20,wrong_size,15643.31
9000458,5041086,200241,2025-10-11,defect,1909.3
9000459,5033290,200247,2026-04-11,changed_mind,3810.16
9000460,5031329,200238,2025-09-26,wrong_size,1596.63
9000461,5017757,200078,2025-09-16,changed_mind,7651.98
9000462,5027225,200084,2025-11-17,damaged_delivery,3292.75
9000463,5040961,200202,2026-01-18,defect,1631.47
9000464,5059246,200086,2026-01-23,damaged_delivery,30527.98
9000465,5010086,200218,2025-03-20,damaged_delivery,1654.08
9000466,5000629,200247,2026-02-22,wrong_size,2820.2
9000467,5054091,200034,2026-03-30,changed_mind,2846.61
9000468,5013316,200016,2025-12-12,wrong_size,14853.14
9000469,5056364,200140,2025-10-21,defect,3740.06
9000470,5025654,200045,2025-02-03,damaged_delivery,7467.6
9000471,5020948,200171,2026-03-02,defect,7709.33
9000472,5038101,200006,2025-06-08,changed_mind,3076.16
9000473,5015948,200207,2026-02-20,wrong_size,2437.43
9000474,5040035,200079,2026-01-16,defect,3239.76
9000475,5038954,200177,2025-07-03,wrong_size,3972.74
9000476,5040287,200019,2025-08-05,changed_mind,6381.75
9000477,5037457,200164,2025-02-23,wrong_size,3387.91
9000478,5018826,200110,2025-09-25,not_as_described,1278.73
9000479,5009231,200209,2025-05-04,changed_mind,5326.77
9000480,5051795,200035,2026-05-03,damaged_delivery,6194.09
9000481,5027099,200196,2025-02-11,not_as_described,6268.66
9000482,5028346,200008,2025-10-15,not_as_described,18494.48
9000483,5042662,200078,2025-09-30,damaged_delivery,4969.83
9000484,5059760,200182,2025-12-01,damaged_delivery,2110.4
9000485,5031286,200201,2025-07-07,changed_mind,998.64
