ticket_id,customer_id,created_at,category,priority,status,resolution_hours
8000046,109981,2025-06-13 11:23:00,delivery,normal,closed,16.2
8000047,103616,2025-02-19 22:27:00,product,normal,closed,7.9
8000048,109981,2025-11-19 21:19:00,return,low,closed,47.4
8000049,108116,2026-01-22 16:03:00,payment,normal,resolved,10.5
8000050,103765,2026-04-26 21:36:00,account,normal,closed,4.4
8000051,102714,2025-06-26 05:22:00,return,low,in_progress,
8000052,105759,2026-03-30 15:50:00,delivery,low,resolved,15.7
8000053,109309,2025-03-28 03:23:00,product,normal,closed,17.6
8000054,106138,2026-05-25 08:44:00,product,normal,closed,5.2
8000055,104314,2025-08-15 05:06:00,payment,normal,closed,18.5
8000056,102870,2025-09-12 13:48:00,product,low,resolved,29.5
8000057,109356,2026-05-30 06:57:00,product,normal,resolved,5.4
8000058,106261,2025-10-08 21:08:00,product,low,resolved,4.4
8000059,105844,2025-08-19 02:09:00,delivery,low,in_progress,
8000060,107778,2026-03-14 22:35:00,return,low,in_progress,
8000061,101610,2026-03-08 12:00:00,account,normal,resolved,11.7
8000062,107997,2025-01-20 04:06:00,product,normal,open,
8000063,109858,2025-06-12 14:49:00,payment,normal,closed,15.6
8000064,105333,2025-01-02 11:15:00,product,normal,resolved,6.6
8000065,101009,2025-02-17 07:27:00,payment,normal,in_progress,
8000066,107613,2025-05-10 10:40:00,account,low,resolved,3.4
8000067,103104,2026-04-26 17:25:00,account,low,resolved,11.7
8000068,101078,2026-01-14 12:30:00,product,high,resolved,3.5
8000069,101115,2025-09-03 07:07:00,product,normal,closed,8.3
8000070,104909,2025-11-10 10:32:00,delivery,normal,open,
8000071,109458,2025-10-26 11:40:00,account,high,closed,5.5
8000072,100762,2025-04-10 17:20:00,return,low,resolved,9.3
8000073,104721,2026-05-28 02:30:00,account,normal,closed,7.6
8000074,108970,2026-01-23 03:33:00,product,normal,in_progress,
8000075,108344,2025-04-18 23:42:00,delivery,low,resolved,23.9
8000076,103685,2025-10-05 08:41:00,product,normal,closed,5.3
8000077,100110,2025-11-30 18:11:00,product,normal,closed,7.4
8000078,105727,2026-03-19 14:28:00,payment,normal,resolved,4.5
8000079,109571,2025-11-04 08:47:00,product,high,in_progress,
8000080,104893,2025-10-31 20:27:00,delivery,urgent,resolved,9.3
8000081,109690,2026-06-21 23:37:00,account,high,closed,9.5
8000082,108649,2026-02-12 02:33:00,product,urgent,resolved,2.5
8000083,102709,2025-09-11 02:09:00,product,low,resolved,40.5
8000084,105179,2026-04-26 10:46:00,account,normal,in_progress,
8000085,104358,2025-11-02 21:45:00,account,normal,resolved,19.5
8000086,102858,2026-01-10 11:52:00,account,urgent,open,
8000087,106560,2025-02-16 08:50:00,account,normal,resolved,9.8
8000088,107148,2026-02-05 07:18:00,account,high,in_progress,
8000089,102056,2025-04-22 00:20:00,payment,low,in_progress,
8000090,107586,2025-10-05 14:44:00,payment,low,resolved,13.8
8000091,103870,2026-04-29 10:20:00,delivery,low,resolved,5.1
8000092,103324,2025-02-09 17:38:00,product,low,closed,18.9
8000093,101000,2025-11-09 05:52:00,account,low,closed,4.7
8000094,101177,2026-04-29 15:56:00,return,normal,resolved,19.3
8000095,101486,2025-02-04 09:26:00,return,high,closed,3.4
8000096,109528,2026-01-26 05:56:00,account,normal,resolved,3.3
8000097,104575,2025-03-05 10:19:00,account,low,resolved,12.6
8000098,104528,2025-03-09 12:26:00,account,normal,closed,17.4
8000099,101310,2026-01-26 13:33:00,product,high,closed,10.2
8000100,109830,2025-08-11 14:24:00,delivery,high,resolved,11.7
8000101,102289,2025-06-16 09:27:00,payment,normal,closed,12.1
8000102,102080,2025-02-13 00:05:00,return,low,in_progress,
8000103,103916,2025-01-14 03:54:00,product,low,closed,14.1
8000104,103531,2025-06-08 23:29:00,product,normal,closed,23.3
8000105,109957,2025-01-09 16:29:00,product,normal,in_progress,
8000106,101249,2025-10-06 05:46:00,return,normal,closed,11.2
8000107,102860,2025-08-30 09:42:00,delivery,high,in_progress,
8000108,102223,2026-05-29 23:08:00,product,low,resolved,4.5
8000109,102774,2025-09-23 04:53:00,delivery,high,resolved,13.3
8000110,104807,2026-03-28 03:22:00,product,high,closed,14.9
8000111,103570,2025-11-06 05:39:00,product,normal,in_progress,
8000112,104045,2025-02-04 22:46:00,account,normal,resolved,5.5
8000113,105940,2025-10-04 18:23:00,payment,low,closed,3.6
8000114,108219,2025-10-10 01:42:00,product,normal,closed,7.2
8000115,108046,2026-04-02 01:45:00,payment,high,closed,29.5
8000116,102323,2025-11-23 03:32:00,payment,low,resolved,5.8
8000117,104287,2025-11-25 07:58:00,product,normal,resolved,3.1
8000118,109774,2026-02-06 11:34:00,return,normal,resolved,26.5
8000119,104585,2025-11-16 18:02:00,account,low,closed,17.4
8000120,101481,2025-08-19 13:02:00,return,low,resolved,8.5
8000121,101899,2025-11-25 20:01:00,payment,normal,in_progress,
8000122,102108,2025-08-10 08:57:00,product,low,closed,14.6
8000123,102498,2025-09-30 16:07:00,product,normal,closed,13.2
8000124,107890,2026-04-07 11:32:00,product,normal,closed,11.3
8000125,101828,2025-07-15 01:28:00,account,low,resolved,4.6
8000126,106194,2026-05-10 17:19:00,product,high,resolved,6.2
8000127,107940,2025-09-14 03:38:00,product,normal,closed,5.2
8000128,108540,2026-02-28 05:52:00,account,normal,resolved,7.8
8000129,100208,2026-05-16 17:49:00,payment,low,resolved,13.0
8000130,108379,2026-06-03 07:14:00,payment,high,resolved,3.4
8000131,104999,2025-12-18 14:01:00,account,normal,in_progress,
8000132,108408,2025-01-10 16:44:00,product,low,resolved,5.9
8000133,109434,2025-08-28 20:10:00,product,low,closed,5.9
8000134,104425,2026-01-03 15:48:00,return,normal,resolved,23.0
8000135,102490,2025-07-22 06:36:00,payment,normal,closed,7.1
8000136,102986,2026-04-02 10:26:00,account,high,closed,12.4
8000137,102671,2025-12-04 03:38:00,delivery,urgent,resolved,6.8
8000138,101204,2025-07-06 06:50:00,return,low,in_progress,
8000139,100961,2025-07-08 06:19:00,delivery,normal,closed,5.5
8000140,104680,2025-01-19 01:11:00,payment,high,resolved,19.1
8000141,106741,2025-08-06 14:23:00,delivery,low,resolved,2.8
8000142,100016,2025-10-31 13:12:00,delivery,low,resolved,21.0
8000143,104482,2025-02-17 18:33:00,product,low,resolved,16.3
8000144,101369,2026-05-16 00:32:00,account,normal,resolved,29.0
8000145,106700,2026-02-11 17:14:00,delivery,low,closed,6.5
8000146,101326,2025-10-05 01:13:00,account,normal,resolved,9.9
8000147,100194,2025-08-28 07:22:00,product,low,open,
8000148,107277,2025-04-16 00:45:00,payment,low,resolved,9.8
8000149,101565,2025-09-06 06:55:00,return,high,resolved,22.1
8000150,108325,2025-01-15 01:23:00,payment,normal,resolved,16.3
8000151,102668,2026-05-08 15:10:00,account,normal,resolved,17.3
8000152,106299,2026-04-27 06:50:00,account,low,closed,28.4
8000153,102517,2025-03-28 00:56:00,product,normal,closed,10.3
8000154,105466,2025-08-25 01:23:00,account,normal,resolved,2.5
8000155,101012,2026-01-04 23:44:00,payment,normal,closed,11.0
8000156,108014,2026-02-05 00:12:00,account,low,resolved,16.6
8000157,103195,2026-02-19 18:09:00,product,high,resolved,8.3
8000158,109703,2025-06-09 16:52:00,delivery,normal,open,
8000159,101946,2025-02-26 23:21:00,payment,low,resolved,12.5
8000160,102745,2025-09-01 05:15:00,account,normal,resolved,8.9
8000161,105072,2026-05-01 22:39:00,return,normal,closed,9.7
8000162,109372,2025-02-23 14:26:00,product,normal,closed,14.4
8000163,109444,2025-09-21 02:01:00,payment,low,resolved,20.2
8000164,105690,2025-10-13 07:30:00,product,normal,closed,14.1
8000165,107620,2025-03-08 21:27:00,return,high,closed,5.1
8000166,106417,2026-01-02 20:28:00,product,low,closed,16.7
8000167,103705,2025-10-28 16:15:00,delivery,low,resolved,11.2
8000168,109224,2026-02-20 21:07:00,product,normal,resolved,11.7
8000169,108206,2025-03-03 02:59:00,product,normal,resolved,3.3
8000170,101515,2025-06-22 14:31:00,payment,normal,closed,18.1
8000171,105141,2025-04-03 11:30:00,return,high,resolved,8.3
8000172,108996,2026-02-01 12:43:00,return,high,closed,5.3
8000173,100859,2025-05-24 10:36:00,return,low,closed,9.3
8000174,103148,2026-06-28 00:59:00,product,low,resolved,11.4
8000175,109064,2025-11-26 21:21:00,payment,normal,resolved,7.9
8000176,106346,2025-05-03 19:38:00,product,high,resolved,5.3
8000177,109213,2025-03-27 05:42:00,product,low,open,
8000178,103315,2026-02-17 10:39:00,product,low,open,
8000179,107674,2025-12-03 16:35:00,payment,low,closed,9.8
8000180,106208,2026-03-06 19:09:00,delivery,high,resolved,30.0
8000181,103717,2025-06-09 08:58:00,product,low,closed,17.7
8000182,107584,2026-05-13 17:25:00,payment,low,resolved,20.0
8000183,106378,2026-01-12 15:23:00,payment,high,closed,6.1
8000184,105182,2025-07-28 18:07:00,return,low,open,
8000185,100997,2025-06-07 02:27:00,account,low,closed,12.2
8000186,108186,2025-04-21 14:31:00,product,high,closed,18.1
8000187,103195,2025-06-28 21:10:00,return,high,closed,3.9
8000188,103124,2025-02-21 01:06:00,payment,normal,closed,17.1
8000189,103613,2025-07-13 07:03:00,return,normal,closed,10.3
8000190,101540,2026-06-21 19:50:00,account,low,resolved,3.1
8000191,100527,2026-05-16 10:55:00,delivery,low,closed,15.6
8000192,101597,2025-09-04 21:40:00,return,low,resolved,8.1
8000193,106043,2026-04-01 08:37:00,account,normal,resolved,5.9
8000194,109943,2025-08-29 23:54:00,return,low,closed,4.5
8000195,105359,2026-04-28 16:49:00,delivery,low,closed,12.7
8000196,102951,2025-07-25 23:06:00,product,normal,resolved,10.6
8000197,104898,2025-01-09 20:22:00,account,low,resolved,10.1
8000198,103372,2026-02-10 01:23:00,delivery,low,resolved,4.3
8000199,105736,2026-06-15 21:47:00,return,high,resolved,18.8
8000200,109236,2026-01-04 02:48:00,payment,low,closed,21.9
8000201,103735,2025-03-21 17:26:00,return,low,closed,3.1
8000202,102925,2025-01-23 03:52:00,delivery,normal,closed,13.6
8000203,102159,2025-06-29 01:29:00,account,normal,resolved,11.2
8000204,109139,2025-11-22 02:17:00,delivery,normal,closed,16.2
8000205,107739,2026-02-12 12:46:00,payment,normal,in_progress,
8000206,105875,2025-08-29 04:22:00,payment,high,resolved,14.8
8000207,107833,2025-01-02 00:00:00,delivery,normal,resolved,4.7
8000208,106323,2026-04-12 01:54:00,delivery,low,closed,4.5
8000209,104882,2025-12-03 06:50:00,account,high,resolved,5.5
8000210,101103,2025-10-20 03:20:00,product,normal,closed,44.3
8000211,108287,2025-04-26 23:22:00,account,low,resolved,5.0
8000212,101384,2025-02-13 01:57:00,delivery,normal,resolved,9.5
8000213,103702,2026-03-31 13:30:00,return,low,closed,4.2
8000214,108197,2025-05-29 22:07:00,delivery,normal,resolved,5.6
8000215,107790,2025-04-22 23:09:00,payment,high,resolved,8.4
8000216,102354,2025-01-20 13:17:00,return,high,resolved,7.6
8000217,101498,2025-07-25 03:53:00,account,low,closed,9.7
8000218,100780,2026-05-13 20:18:00,account,low,closed,14.8
8000219,106152,2026-06-16 20:01:00,payment,normal,resolved,10.9
8000220,101069,2026-02-24 11:37:00,payment,high,resolved,10.2
8000221,106631,2025-05-11 12:53:00,account,normal,resolved,12.6
8000222,108499,2025-04-10 07:35:00,account,normal,open,
8000223,103882,2026-01-09 19:40:00,delivery,normal,closed,5.0
8000224,109263,2026-01-03 01:47:00,product,low,closed,7.5
8000225,108542,2025-05-24 08:49:00,delivery,low,resolved,13.7
8000226,101487,2025-08-26 11:50:00,account,high,open,
8000227,108609,2025-08-26 05:39:00,delivery,normal,resolved,2.2
8000228,109828,2025-12-24 17:57:00,return,normal,closed,20.2
8000229,102995,2025-11-26 22:56:00,delivery,normal,open,
8000230,108928,2025-02-06 19:17:00,payment,low,resolved,21.9
8000231,106087,2025-02-23 00:10:00,payment,low,closed,11.4
8000232,109288,2025-06-09 22:16:00,product,low,closed,8.0
8000233,100617,2026-06-05 18:35:00,account,low,open,
8000234,102635,2025-12-14 07:12:00,delivery,normal,closed,5.6
8000235,105554,2026-05-09 15:05:00,return,low,resolved,11.0
8000236,101370,2025-06-12 01:34:00,product,normal,resolved,11.7
8000237,104312,2026-01-22 12:33:00,delivery,low,closed,13.1
8000238,104339,2025-05-18 22:51:00,return,low,open,
8000239,109033,2025-09-24 05:16:00,account,low,in_progress,
8000240,109983,2025-01-22 14:27:00,delivery,normal,closed,1.4
8000241,106601,2026-02-22 08:45:00,payment,normal,resolved,13.6
8000242,106927,2026-02-12 02:26:00,account,low,closed,28.9
8000243,101621,2026-06-13 19:01:00,payment,normal,closed,11.4
8000244,101253,2025-12-14 21:14:00,delivery,normal,closed,7.1
8000245,103131,2025-09-05 16:18:00,account,low,closed,14.7
8000246,101054,2025-07-22 00:12:00,return,high,resolved,12.3
8000247,102112,2026-03-17 02:23:00,return,normal,closed,10.9
8000248,106429,2025-01-07 08:41:00,account,low,resolved,7.4
8000249,106295,2025-09-15 05:16:00,payment,normal,resolved,12.8
8000250,107574,2026-04-27 10:51:00,product,normal,closed,6.6
8000251,109795,2026-06-03 19:08:00,account,normal,resolved,15.6
8000252,108317,2025-12-15 07:36:00,return,normal,in_progress,
8000253,107976,2026-02-15 17:19:00,account,low,closed,24.4
8000254,101817,2025-01-22 11:09:00,delivery,normal,open,
8000255,107860,2026-05-29 07:26:00,return,high,resolved,6.2
8000256,101857,2025-07-14 12:23:00,product,low,resolved,11.8
8000257,101562,2025-11-02 18:45:00,payment,low,resolved,11.7
8000258,109764,2026-02-20 10:21:00,payment,low,resolved,4.5
8000259,108460,2026-03-03 20:51:00,product,normal,open,
8000260,106509,2025-08-14 23:19:00,account,normal,resolved,7.7
8000261,108930,2025-08-26 04:47:00,account,low,in_progress,
8000262,106925,2026-02-18 18:50:00,return,normal,resolved,7.1
8000263,105403,2025-11-16 21:55:00,product,low,resolved,10.1
8000264,102859,2025-03-03 18:59:00,delivery,low,closed,2.7
8000265,100681,2025-12-11 05:27:00,delivery,high,closed,15.7
8000266,108373,2025-07-05 10:07:00,delivery,normal,open,
8000267,106077,2025-09-09 11:28:00,payment,low,resolved,12.9
8000268,100763,2025-11-19 07:50:00,return,low,resolved,14.4
8000269,109971,2025-09-05 00:05:00,product,normal,in_progress,
8000270,103365,2026-01-30 13:51:00,product,normal,closed,14.0
8000271,100346,2026-06-06 06:40:00,return,normal,resolved,11.4
8000272,102172,2025-01-17 16:58:00,payment,low,closed,12.0
8000273,102692,2025-10-21 21:03:00,return,low,resolved,27.6
8000274,101216,2025-08-13 18:07:00,return,normal,resolved,4.1
8000275,103178,2025-08-23 22:13:00,account,normal,resolved,13.5
8000276,109209,2025-07-01 02:13:00,product,high,resolved,22.9
8000277,104047,2026-03-29 03:50:00,product,normal,resolved,15.9
8000278,106904,2026-02-28 01:34:00,delivery,normal,open,
8000279,108264,2025-02-10 08:10:00,product,low,resolved,4.8
8000280,103559,2026-02-04 18:43:00,return,low,resolved,18.3
8000281,101610,2026-05-18 02:41:00,account,normal,open,
8000282,107776,2025-08-28 00:05:00,account,normal,resolved,8.3
8000283,108757,2025-08-11 18:21:00,product,normal,resolved,5.7
8000284,102807,2025-05-24 21:26:00,account,high,resolved,26.6
8000285,107023,2025-04-27 19:03:00,payment,low,resolved,2.3
8000286,103094,2025-12-19 11:13:00,payment,normal,resolved,24.2
8000287,109707,2026-01-01 06:57:00,delivery,normal,in_progress,
8000288,103646,2025-07-31 23:59:00,delivery,normal,open,
8000289,105116,2025-12-17 17:36:00,payment,normal,closed,11.5
8000290,100408,2025-07-08 06:28:00,product,normal,resolved,13.2
8000291,103276,2025-08-18 02:44:00,account,low,in_progress,
8000292,106728,2025-11-06 11:49:00,product,high,closed,19.4
8000293,100138,2026-05-20 16:44:00,product,normal,closed,63.4
8000294,107741,2025-05-06 12:16:00,product,normal,in_progress,
8000295,104656,2026-05-24 12:47:00,return,high,resolved,17.2
8000296,106318,2025-04-28 08:24:00,product,low,resolved,9.6
8000297,103321,2026-06-28 17:26:00,account,normal,open,
8000298,101550,2026-05-26 05:37:00,product,low,resolved,3.9
8000299,104107,2026-05-15 11:46:00,return,low,open,
8000300,104249,2025-11-17 19:25:00,payment,low,closed,19.6
8000301,100228,2026-06-27 11:35:00,product,low,in_progress,
8000302,101140,2026-01-06 00:29:00,product,low,resolved,14.8
8000303,103660,2025-09-25 18:34:00,return,normal,resolved,10.6
8000304,109473,2026-04-29 02:53:00,payment,normal,closed,8.5
8000305,108466,2025-07-13 01:32:00,return,low,closed,5.2
8000306,109613,2025-08-16 18:01:00,delivery,high,closed,7.8
8000307,107914,2025-03-31 02:44:00,return,low,resolved,12.1
8000308,108360,2025-11-03 23:13:00,return,normal,closed,2.5
8000309,106697,2025-03-22 05:00:00,product,normal,closed,8.8
8000310,109127,2025-02-19 15:18:00,product,high,resolved,9.8
8000311,101753,2025-08-25 20:31:00,product,normal,closed,7.8
8000312,104440,2026-05-27 15:06:00,account,normal,closed,10.1
8000313,109338,2026-01-10 17:09:00,payment,low,resolved,6.8
8000314,107697,2025-05-29 05:09:00,payment,urgent,closed,6.1
8000315,100675,2026-05-18 18:25:00,return,low,in_progress,
8000316,108322,2026-03-25 21:44:00,account,high,open,
8000317,106671,2025-12-29 22:52:00,payment,high,resolved,13.1
8000318,107804,2025-06-07 10:49:00,payment,normal,closed,10.0
8000319,105320,2026-06-30 08:36:00,product,low,resolved,5.0
8000320,102479,2025-04-16 20:58:00,delivery,low,closed,21.2
8000321,109314,2026-06-27 12:44:00,delivery,high,closed,9.5
8000322,109211,2026-04-11 15:50:00,return,low,closed,10.5
8000323,102720,2025-11-26 05:31:00,account,normal,closed,4.7
8000324,109887,2025-09-21 02:03:00,product,low,resolved,5.3
8000325,103095,2025-07-04 07:52:00,return,normal,in_progress,
8000326,109824,2025-01-07 06:44:00,account,high,resolved,8.8
8000327,106381,2026-05-14 05:35:00,product,normal,closed,37.7
8000328,106698,2025-08-29 07:56:00,payment,normal,closed,9.4
8000329,104630,2025-07-23 14:34:00,payment,low,closed,7.4
8000330,107753,2026-04-26 02:19:00,payment,urgent,open,
8000331,109324,2026-05-06 22:22:00,product,low,closed,17.9
8000332,101150,2025-11-11 18:39:00,payment,normal,closed,11.2
8000333,107633,2025-08-02 05:30:00,product,normal,resolved,4.0
8000334,103612,2025-12-31 12:58:00,delivery,normal,closed,3.0
8000335,105186,2025-11-15 16:16:00,delivery,low,in_progress,
8000336,109799,2026-03-16 15:56:00,delivery,high,open,
8000337,106472,2025-12-21 08:53:00,return,low,resolved,13.0
8000338,106099,2025-09-09 05:11:00,product,low,resolved,10.5
8000339,105733,2025-01-11 18:55:00,delivery,high,resolved,17.7
8000340,101476,2026-02-05 07:45:00,delivery,low,closed,15.8
8000341,100232,2025-03-02 14:02:00,account,normal,resolved,37.1
8000342,101839,2025-07-19 01:54:00,account,low,in_progress,
8000343,108732,2025-06-15 11:16:00,account,low,closed,1.1
8000344,108600,2025-05-27 08:53:00,account,low,resolved,16.8
8000345,100178,2026-01-23 12:30:00,payment,high,closed,4.3
8000346,105641,2026-03-15 09:53:00,account,low,resolved,25.3
8000347,107496,2026-06-07 22:00:00,account,normal,resolved,8.9
8000348,105682,2026-06-02 23:24:00,payment,high,resolved,3.2
8000349,106732,2025-07-03 14:07:00,delivery,normal,resolved,22.4
8000350,105472,2026-06-06 10:01:00,product,normal,resolved,12.4
8000351,103747,2025-06-03 05:00:00,payment,normal,resolved,11.1
8000352,107395,2025-06-21 10:47:00,payment,high,in_progress,
8000353,105482,2026-01-02 22:38:00,return,low,in_progress,
8000354,108915,2026-06-15 17:10:00,return,normal,closed,9.3
8000355,102121,2025-12-01 05:45:00,return,normal,resolved,16.2
8000356,107095,2025-07-17 10:12:00,product,low,in_progress,
8000357,104792,2026-01-26 20:57:00,return,high,resolved,5.3
8000358,109312,2025-10-03 06:28:00,account,normal,in_progress,
8000359,104671,2025-12-30 03:14:00,delivery,normal,resolved,13.0
8000360,108584,2025-01-07 19:18:00,delivery,normal,closed,8.0
8000361,107327,2025-06-19 22:20:00,delivery,normal,closed,12.0
8000362,101194,2026-05-25 15:05:00,delivery,high,resolved,3.8
8000363,106012,2025-11-18 01:46:00,account,high,in_progress,
8000364,101711,2025-11-12 14:22:00,delivery,normal,resolved,14.8
8000365,106452,2025-05-30 23:31:00,return,low,closed,5.6
8000366,103229,2025-01-17 10:50:00,product,low,closed,3.6
8000367,109958,2026-06-08 18:34:00,delivery,low,in_progress,
8000368,104600,2025-11-01 00:51:00,return,high,resolved,10.9
8000369,107488,2025-09-03 14:30:00,payment,low,resolved,9.8
8000370,106483,2025-01-07 04:11:00,payment,normal,resolved,15.6
8000371,102211,2026-01-16 10:46:00,delivery,low,in_progress,
8000372,105860,2025-06-24 13:26:00,payment,normal,in_progress,
8000373,102303,2025-04-11 03:59:00,return,low,resolved,8.0
8000374,101580,2025-11-29 05:49:00,account,normal,closed,8.6
8000375,108288,2026-05-19 22:57:00,delivery,normal,resolved,17.1
8000376,107034,2026-06-13 06:22:00,return,normal,closed,27.9
8000377,101370,2025-01-10 22:28:00,delivery,low,closed,7.5
8000378,100393,2025-05-03 22:40:00,account,normal,closed,2.6
8000379,107701,2025-02-27 06:56:00,account,normal,closed,5.4
8000380,109133,2026-05-01 16:28:00,product,normal,closed,2.1
8000381,108423,2026-03-22 22:54:00,product,normal,open,
8000382,100506,2025-12-05 02:23:00,account,low,closed,12.7
8000383,107291,2025-04-05 03:36:00,payment,urgent,in_progress,
8000384,104633,2026-01-30 03:48:00,payment,high,closed,2.5
8000385,106822,2025-11-09 07:29:00,product,high,closed,12.6
8000386,102605,2025-07-08 09:39:00,payment,low,closed,8.0
8000387,109133,2025-11-30 23:18:00,return,normal,resolved,12.4
8000388,109512,2026-03-12 21:09:00,payment,normal,closed,15.5
8000389,106001,2025-09-19 10:36:00,delivery,low,resolved,4.0
8000390,107167,2026-02-13 05:16:00,return,low,resolved,4.4
8000391,100477,2025-06-07 19:16:00,payment,low,resolved,6.2
8000392,102987,2025-03-17 00:58:00,delivery,normal,resolved,6.3
8000393,104960,2026-05-19 10:20:00,account,low,in_progress,
8000394,101107,2025-04-01 11:16:00,account,normal,resolved,6.5
8000395,107026,2025-12-12 13:39:00,delivery,low,closed,11.2
8000396,101657,2026-05-24 02:26:00,payment,normal,in_progress,
8000397,100437,2025-12-06 12:20:00,return,normal,resolved,5.5
8000398,105866,2025-12-13 05:58:00,delivery,low,closed,7.1
8000399,107672,2026-06-02 12:23:00,return,urgent,closed,7.9
8000400,101081,2025-09-10 21:02:00,delivery,low,in_progress,
8000401,101420,2025-11-12 06:23:00,payment,low,in_progress,
8000402,107377,2026-03-03 03:46:00,return,normal,closed,10.9
8000403,101023,2026-05-13 19:29:00,delivery,normal,resolved,5.7
8000404,105970,2026-02-04 08:36:00,payment,normal,resolved,7.4
8000405,104710,2025-02-14 08:37:00,product,normal,resolved,15.3
8000406,109236,2025-05-17 03:29:00,return,low,resolved,12.5
8000407,104571,2025-07-26 06:26:00,product,high,resolved,13.5
8000408,100940,2025-11-15 05:50:00,account,normal,resolved,8.6
8000409,101835,2025-12-31 19:10:00,payment,normal,open,
8000410,105089,2026-06-09 00:07:00,delivery,normal,resolved,12.6
8000411,100808,2026-02-18 05:53:00,account,normal,resolved,18.6
8000412,107159,2025-07-19 23:01:00,payment,high,resolved,6.6
8000413,107538,2025-09-02 10:35:00,delivery,normal,closed,15.6
8000414,101808,2026-04-29 13:04:00,return,low,in_progress,
8000415,107371,2025-01-08 18:57:00,product,high,closed,8.0
8000416,106611,2026-02-03 08:57:00,delivery,normal,in_progress,
8000417,108065,2025-04-04 20:17:00,return,low,resolved,1.8
8000418,100948,2025-08-10 20:26:00,product,low,resolved,5.3
8000419,109100,2026-06-25 20:41:00,product,high,resolved,12.0
8000420,103839,2025-07-04 15:01:00,account,high,closed,10.5
8000421,101995,2026-03-25 16:52:00,return,normal,in_progress,
8000422,107624,2026-02-02 01:25:00,account,low,in_progress,
8000423,108061,2025-09-24 05:02:00,product,low,resolved,4.7
8000424,104235,2026-04-24 03:58:00,payment,low,closed,11.8
8000425,109676,2025-09-24 13:32:00,product,normal,resolved,9.7
8000426,102798,2025-05-02 00:59:00,return,low,resolved,4.2
8000427,103012,2025-08-01 23:59:00,return,low,resolved,20.3
8000428,101381,2026-05-15 02:01:00,account,normal,resolved,7.0
8000429,108502,2025-05-15 15:11:00,payment,normal,closed,4.9
8000430,109452,2025-10-04 16:16:00,delivery,low,resolved,4.6
8000431,103005,2026-03-15 12:25:00,payment,low,resolved,34.7
8000432,102238,2025-04-06 06:39:00,product,normal,open,
8000433,101399,2025-06-25 06:03:00,product,normal,closed,3.9
8000434,107135,2026-05-11 02:51:00,payment,normal,resolved,3.5
